,text,star,app_id,reviewDate,corrected_text,accuracy %
47,👍,5,com.alibaba.aliexpresshd,18/03/21,,0.0
48,Would have given 5 stars if Cash on delivery option was available..,1,com.alibaba.aliexpresshd,18/03/21,Would have given 5 stars if cash on delivery option was available.,83.3
49,Nice app,5,com.alibaba.aliexpresshd,18/03/21,Nice app.,50.0
50,Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,4,com.alibaba.aliexpresshd,18/03/21,Produtos variados e ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,94.7
51,"So far so good,got items on time",5,com.alibaba.aliexpresshd,18/03/21,"So far so good,got items on time.",85.7
52,Amazing app. Best place to purchase your product internationally,5,com.alibaba.aliexpresshd,18/03/21,Amazing app. Best place to purchase your product internationally.,88.9
53,Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,5,com.alibaba.aliexpresshd,18/03/21,Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says.,96.2
54,"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",5,com.alibaba.aliexpresshd,18/03/21,"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",100.0
55,Fast delivery,5,com.alibaba.aliexpresshd,18/03/21,Fast delivery.,50.0
56,"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",4,com.alibaba.aliexpresshd,18/03/21,"Some shipments take long, and most of the things they sell are cheap but i really like this app because the stuff is cheap depending on what you order :)",96.7
57,رائع للتسوق,5,com.alibaba.aliexpresshd,18/03/21,,50.0
58,YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,1,com.alibaba.aliexpresshd,18/03/21,YOU NOOB NO LEGO POLICE BOY 60045.,62.5
59,Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,2,com.alibaba.aliexpresshd,18/03/21,Too many problems with service. I am done. Not an easy solution. Prices are about the same as Amazon for same prices..and better problem resolution.,80.0
60,This App Really Makes Shopping Easy and Fun,5,com.alibaba.aliexpresshd,18/03/21,This App Really Makes Shopping Easy and Fun!,87.5
61,Excellent,5,com.alibaba.aliexpresshd,18/03/21,Excellent!,0.0
62,Am very happy to use this app everything is straight forward and deliveries are quick,5,com.alibaba.aliexpresshd,18/03/21,Am very happy to use this app - everything is straight forward and deliveries are quick.,86.7
63,got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1,com.alibaba.aliexpresshd,18/03/21,got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website?,95.2
64,Very nice app,5,com.alibaba.aliexpresshd,18/03/21,Very nice app.,66.7
65,Very easy app to use. Lots to choose from.,5,com.alibaba.aliexpresshd,18/03/21,Very easy app to use. Lots to choose from.,100.0
66,"Theres one item that i didnt get, but i still like this better than others apps.",5,com.alibaba.aliexpresshd,18/03/21,"Theres one item that i didnt get, but i still like this better than other apps.",93.8
67,With time I will give it 5 stars Started using it not quite long,3,com.alibaba.aliexpresshd,18/03/21,With time I would give it 5 stars Started using it quite a few years ago.,78.6
68,"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",5,com.alibaba.aliexpresshd,18/03/21,"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS,",97.5
69,Amazing,5,com.alibaba.aliexpresshd,18/03/21,Amazing!,0.0
70,For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,5,com.alibaba.aliexpresshd,18/03/21,For the years I've been on AliExpress I've only had a handful of negative experiences and the overall experience has been positive. Let's hope they keep it going in a great direction.,83.9
71,I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,4,com.alibaba.aliexpresshd,18/03/21,I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home...different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us with the facility of cash on delivery?,92.9
72,Good,4,com.alibaba.aliexpresshd,18/03/21,Good luck.,0.0
73,Nice,5,com.alibaba.aliexpresshd,18/03/21,Nice.,0.0
74,My favourite app,5,com.alibaba.aliexpresshd,18/03/21,My favourite app!,66.7
75,Great service.,5,com.alibaba.aliexpresshd,18/03/21,Great service.,100.0
76,Good deals but too long shipping time could it be Faster ??,4,com.alibaba.aliexpresshd,18/03/21,"Good deals, but too long shipping time could it be Faster??",83.3
77,Awesome,1,com.alibaba.aliexpresshd,18/03/21,Awesome!,0.0
78,I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,5,com.alibaba.aliexpresshd,18/03/21,I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend!,95.0
79,"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",2,com.alibaba.aliexpresshd,18/03/21,"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open a dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible from Ali Express",92.5
80,"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1,com.alibaba.aliexpresshd,18/03/21,"The delivery was extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary.Alex You need to have total turnaround.",90.0
81,Package was in perfect condition. Shipping was faster than expected..,4,com.alibaba.aliexpresshd,18/03/21,Package was in perfect condition. Shipping was faster than expected.,90.0
82,New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,5,com.alibaba.aliexpresshd,18/03/21,New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the rest.,97.9
83,👍👍,5,com.alibaba.aliexpresshd,18/03/21,"In the : (assos) i'm saying, """,0.0
84,Fair and good,4,com.alibaba.aliexpresshd,18/03/21,Fair and good.,66.7
85,Amazing,5,com.alibaba.aliexpresshd,18/03/21,Amazing.,0.0
86,So reliable.,5,com.alibaba.aliexpresshd,18/03/21,So reliable.,100.0
87,Very nice,5,com.alibaba.aliexpresshd,18/03/21,Very nice!,50.0
88,Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1,com.alibaba.aliexpresshd,18/03/21,Worst customer support. Bloody robot dont let you chat with agent and doesn't answer queries. Disputes are pending from three months but Aliexpress is sleeping.,92.3
89,Awesome and user friendly,5,com.alibaba.aliexpresshd,18/03/21,Awesome and user friendly.,75.0
90,Useless.. fake,1,com.alibaba.aliexpresshd,18/03/21,Useless.. fake..,50.0
91,Super,5,com.alibaba.aliexpresshd,18/03/21,Superheroes!,0.0
92,Love it,5,com.alibaba.aliexpresshd,18/03/21,Love it.,50.0
93,Great,5,com.alibaba.aliexpresshd,18/03/21,Great resource.,0.0
94,Excellent,5,com.alibaba.aliexpresshd,18/03/21,Excellent,100.0
95,"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",4,com.alibaba.aliexpresshd,18/03/21,"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",100.0
96,Amazing selection,5,com.alibaba.aliexpresshd,18/03/21,Amazing selection.,50.0
97,Totally satisfied with shipping time and product's in which I have purchased.,5,com.alibaba.aliexpresshd,18/03/21,Totally satisfied with shipping time and products I purchased.,75.0
98,Very good,5,com.alibaba.aliexpresshd,18/03/21,Very good.,50.0
99,Very good Shopping Apps,5,com.alibaba.aliexpresshd,18/03/21,Very good Shopping Apps.,75.0
100,Is ok,4,com.alibaba.aliexpresshd,18/03/21,Is this ok?,0.0
101,🙃🙂,5,com.alibaba.aliexpresshd,18/03/21,.,0.0
102,😊,5,com.alibaba.aliexpresshd,18/03/21,/  / / st / l / fs = 4 = =  / st /  /  /  /  / p > / f = =,0.0
103,Good app you can get anything you want at any store at your convenience time,5,com.alibaba.aliexpresshd,18/03/21,With this app you can get anything you want at any store at your convenience time.,80.0
104,Best app,5,com.alibaba.aliexpresshd,18/03/21,Best app.,50.0
105,Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,1,com.alibaba.aliexpresshd,18/03/21,Very bad experience buying on this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for,97.8
106,I just had an amazing experience with AliExpress,5,com.alibaba.aliexpresshd,18/03/21,I just had an amazing experience with AliExpress.,87.5
107,Very good site easy to use,5,com.alibaba.aliexpresshd,18/03/21,Very good site easy to use.,83.3
108,"Yep really good until use it a few more times. Thanks. Tony,",3,com.alibaba.aliexpresshd,18/03/21,"Yep. Really good, i’d love to use it a few more times. Thanks Tony.",50.0
109,Trusted and reliable Fast and cheap Accurate and sure,5,com.alibaba.aliexpresshd,18/03/21,"Trusted and reliable, Fast and cheap, Accurate and Sure.",66.7
110,Very useful,5,com.alibaba.aliexpresshd,18/03/21,Very useful.,50.0
111,"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",3,com.alibaba.aliexpresshd,18/03/21,"The app is convenient but, items are too small to see correctly which makes it hard to choose the right colors and the app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",89.8
112,I love how they have so many products!,5,com.alibaba.aliexpresshd,18/03/21,I love how they have so many products!,100.0
113,Good,5,com.alibaba.aliexpresshd,18/03/21,Good day.,0.0
114,Easy to look for anything needed,5,com.alibaba.aliexpresshd,18/03/21,Easy to look for anything needed.,83.3
115,nice,5,com.alibaba.aliexpresshd,18/03/21,Nice.,0.0
116,Its good,4,com.yahoo.mobile.client.android.mail,18/03/21,Its good.,50.0
117,Excellent,5,com.yahoo.mobile.client.android.mail,18/03/21,Excellent.,0.0
118,It's simply the best,5,com.yahoo.mobile.client.android.mail,18/03/21,It's simply the best.,75.0
119,"Yeah, it's alright",4,com.yahoo.mobile.client.android.mail,18/03/21,"Yeah, it's alright.",66.7
120,I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,5,com.yahoo.mobile.client.android.mail,18/03/21,I am using yahoo for more than 15 years and happy to use it in the future. Thanks yahoo.,88.9
121,Convenient,4,com.yahoo.mobile.client.android.mail,18/03/21,Convenient.,0.0
122,Works for me.,5,com.yahoo.mobile.client.android.mail,18/03/21,Works for me.,100.0
123,Very good 👍,5,com.yahoo.mobile.client.android.mail,18/03/21,Very good.,33.3
124,Easy to work and read,5,com.yahoo.mobile.client.android.mail,18/03/21,Easy to read and write.,60.0
125,Great!,5,com.yahoo.mobile.client.android.mail,18/03/21,Great idea!,0.0
126,I order all the time from Affirm their pretty reasonable and their fair,5,com.yahoo.mobile.client.android.mail,18/03/21,I order all the time from Affirm. They are pretty reasonable and their fair.,76.9
127,Great!,5,com.yahoo.mobile.client.android.mail,18/03/21,Great!,100.0
128,Very effective and quick,5,com.yahoo.mobile.client.android.mail,18/03/21,Very effective and quick!,75.0
129,"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.",1,com.yahoo.mobile.client.android.mail,18/03/21,"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good, reliable, fast and accurate email. Just to give you an example when I try to delete an email, I can't get",94.7
130,It's email...,4,com.yahoo.mobile.client.android.mail,18/03/21,It's the email.,0.0
131,I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,1,com.yahoo.mobile.client.android.mail,18/03/21,I can't open links on my email I have updated and reinstalled it and still having trouble trying to open a link on an email li yes I do have Tmobile but I never had problems with it.,92.1
132,Its working satisfactory.,5,com.yahoo.mobile.client.android.mail,18/03/21,It's working pleasantly.,33.3
133,Very satisfied,4,com.yahoo.mobile.client.android.mail,18/03/21,Very satisfied.,50.0
134,Serves my needs very well.,4,com.yahoo.mobile.client.android.mail,18/03/21,Serves my needs very well.,100.0
135,Good experience,5,com.yahoo.mobile.client.android.mail,18/03/21,Good experience.,50.0
136,I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,5,com.yahoo.mobile.client.android.mail,18/03/21,I love how easy it is to navigate my mail now. The folders I can create are wonderful. Highly recommend this email.,95.5
137,Ok email,5,com.yahoo.mobile.client.android.mail,18/03/21,Ok email.,50.0
138,Great,5,com.yahoo.mobile.client.android.mail,18/03/21,Great location.,0.0
139,Excelentes,5,com.yahoo.mobile.client.android.mail,18/03/21,Excelentes.,0.0
140,"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",5,com.yahoo.mobile.client.android.mail,18/03/21,"I have been using this app a few days, but I really like it. Sometimes it is a bit slow, but it is easy to use and allows for organized email.",93.3
141,The best,5,com.yahoo.mobile.client.android.mail,18/03/21,What would you rather do?,50.0
142,TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,3,com.yahoo.mobile.client.android.mail,18/03/21,TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BOLDEN APP.,80.0
143,Yahoo has improved so much more,5,com.yahoo.mobile.client.android.mail,18/03/21,Yahoo has improved significantly more significantly.,66.7
144,Great functionality and stability!,5,com.yahoo.mobile.client.android.mail,18/03/21,Great functionality and stability!,100.0
145,Great app!,5,com.yahoo.mobile.client.android.mail,18/03/21,Great app!,100.0
146,"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format",5,com.yahoo.mobile.client.android.mail,18/03/21,"I am using Yahoo mail for last 20 years,good service and easy to understand format.",81.2
147,Well designed for lazy people! Very easy and convenience!,5,com.yahoo.mobile.client.android.mail,18/03/21,Well designed for lazy people! Very easy and convenient!,88.9
148,Thank you Yahoo! Mail 💌,5,com.yahoo.mobile.client.android.mail,18/03/21,Thank you Yahoo! Mail.,60.0
149,It's nice n good app.,5,com.yahoo.mobile.client.android.mail,18/03/21,It's nice n good app.,100.0
150,Too good,5,com.yahoo.mobile.client.android.mail,18/03/21,Too good!,50.0
151,Great 👍,5,com.yahoo.mobile.client.android.mail,18/03/21,Great.,0.0
152,notices come in twice I only need them once,3,com.yahoo.mobile.client.android.mail,18/03/21,"Notices come in twice, I only need them once.",66.7
153,Very easy to use,5,com.yahoo.mobile.client.android.mail,18/03/21,Very easy to use.,75.0
154,"Have had it forever, has not let me down yet!.",5,com.yahoo.mobile.client.android.mail,18/03/21,"Have had it forever, not let me down yet!",80.0
155,The best email provider in my eyes,5,com.yahoo.mobile.client.android.mail,18/03/21,The best email provider in my eyes.,85.7
156,No issues. Works well,5,com.yahoo.mobile.client.android.mail,18/03/21,No issues. Works well.,75.0
157,Abcd,1,com.halfbrick.fruitninjafree,18/03/21,Abcd.,0.0
158,Very user friendly and I feel that my information is secure,5,com.yahoo.mobile.client.android.mail,18/03/21,Very user friendly and I feel that my information is secure.,90.9
159,This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,2,com.yahoo.mobile.client.android.mail,18/03/21,This app used to be great but the last 3 days I have not been able to access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this issue and let me,95.6
160,5 stars,5,com.yahoo.mobile.client.android.mail,18/03/21,5 stars,100.0
161,Very easy to use and understand,5,com.yahoo.mobile.client.android.mail,18/03/21,Very easy to use and understand.,83.3
162,Very seldom have trouble with it.,5,com.yahoo.mobile.client.android.mail,18/03/21,Very rarely have problems with it.,66.7
163,Thank you so much. Free email apps.,5,com.yahoo.mobile.client.android.mail,18/03/21,Thank you so much. Free Email Apps.,85.7
164,Exelente 👍🏻,5,com.yahoo.mobile.client.android.mail,18/03/21,Excessive,50.0
165,Excellent service,5,com.yahoo.mobile.client.android.mail,18/03/21,Excellent service!,50.0
166,"Works well, easy to use",5,com.yahoo.mobile.client.android.mail,18/03/21,"Works well, easy to use.",80.0
167,Thank you I appreciate this app its been a great tool for me✌I can always count on this app to work🙏,5,com.yahoo.mobile.client.android.mail,18/03/21,Thank you I appreciate this app its been a great tool for meI can always count on this app to work.,90.5
168,Useful,5,com.yahoo.mobile.client.android.mail,18/03/21,Useful.,0.0
169,So far no issues,5,com.yahoo.mobile.client.android.mail,18/03/21,So far no issues.,75.0
170,Good,5,com.yahoo.mobile.client.android.mail,18/03/21,Good one!!,0.0
171,Too many advertisements. It's very annoying.,3,com.yahoo.mobile.client.android.mail,18/03/21,Too many advertisements. It's very annoying.,100.0
172,Rubbish,1,com.yahoo.mobile.client.android.mail,18/03/21,Rubbish.,0.0
173,Happy,5,com.yahoo.mobile.client.android.mail,18/03/21,Happy holidays.,0.0
174,Very interesting and convenient to use. Totally user friendly,5,com.yahoo.mobile.client.android.mail,18/03/21,Very interesting and convenient to use. Totally user friendly.,88.9
175,Very fantastics,5,com.badoo.mobile,18/03/21,Very fantastic.,50.0
176,OK,4,com.yahoo.mobile.client.android.mail,18/03/21,OK.,0.0
177,Great job Wii use it more!,4,com.yahoo.mobile.client.android.mail,18/03/21,Great job Wii. Will definitely use it more!,66.7
178,Outstanding app,5,com.yahoo.mobile.client.android.mail,18/03/21,Outstanding app.,50.0
179,"This app is extraordinary and very very helpful for daily day today life Sending group messages, informations, urgent and immediate details and very handy app for all ages and all times",5,com.yahoo.mobile.client.android.mail,18/03/21,"This app is extraordinarily helpful for daily life Sending group messages, information, urgent and immediate details and a very handy app for all ages and all times.",80.6
180,Very good,5,com.yahoo.mobile.client.android.mail,18/03/21,Very good indeed.,50.0
181,Seems to have fewer glitches now,4,com.yahoo.mobile.client.android.mail,18/03/21,Seems to have fewer glitches now,100.0
182,Useless,1,com.yahoo.mobile.client.android.mail,18/03/21,Useless.,0.0
183,Amazing and win 🏆👏,5,com.yahoo.mobile.client.android.mail,18/03/21,Amazing win.,25.0
184,Totoka,5,com.yahoo.mobile.client.android.mail,18/03/21,Totoka,100.0
185,Very reliable,5,com.yahoo.mobile.client.android.mail,18/03/21,Very reliable.,50.0
186,Ad buttons are none responsive,1,com.yahoo.mobile.client.android.mail,18/03/21,Ad buttons are not responsive.,60.0
187,Ok,3,com.yahoo.mobile.client.android.mail,18/03/21,Ok.,0.0
188,Smooth,5,com.yahoo.mobile.client.android.mail,18/03/21,Smooth.,0.0
189,I enjoy all that yahoo has to offer,5,com.yahoo.mobile.client.android.mail,18/03/21,I enjoy all that Yahoo has to offer.,75.0
190,"You have Fixed Contacts save System, instead of Contacts List save as per our customised matched.",4,com.yahoo.mobile.client.android.mail,18/03/21,"You have Fixed Contacts save System, instead of Contacts List save as per our custom settings.",87.5
191,Good then before though Improving slowly...,4,com.yahoo.mobile.client.android.mail,18/03/21,Good to have that going though. Improving slowly.,16.7
192,Great tool to keep in touch with individuals and businesses,5,com.yahoo.mobile.client.android.mail,18/03/21,Great tool to keep in touch with individuals and businesses.,90.0
193,Not for me.. too many ads. its distracts me too much. I forget why I opened my emails in the first place 😐,3,com.yahoo.mobile.client.android.mail,18/03/21,Not for me.. too many ads.. its distracts me too much. I forget why I opened my emails in the first place.,87.0
194,Highly appropriate and useful.,5,com.yahoo.mobile.client.android.mail,18/03/21,Highly appropriate and useful.,100.0
195,"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app several times to refresh the app, I've cleaned out the caches several times. What is going on with this app?",1,com.yahoo.mobile.client.android.mail,18/03/21,"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app",98.6
196,Great App!,5,com.yahoo.mobile.client.android.mail,18/03/21,Great app!,50.0
197,Good,5,com.yahoo.mobile.client.android.mail,18/03/21,Good.,0.0
